Date,Open_USD_RUB,High_USD_RUB,Low_USD_RUB,Close_USD_RUB,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2024-05-21,90.3199996948,90.3199996948,90.3199996948,90.3199996948,0,0.0,0.0,RUB=X,,,RUB
2024-05-22,90.3199996948,90.3199996948,90.1900024414,90.3199996948,0,0.0,0.0,RUB=X,,,RUB
2024-05-23,91.6200027466,91.6200027466,91.6200027466,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-26,91.6200027466,91.6200027466,91.6200027466,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-27,91.6200027466,91.6200027466,91.6200027466,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-28,88.5699996948,88.5699996948,88.5699996948,91.6200027466,0,0.0,0.0,RUB=X,,,RUB
2024-05-29,89.5699996948,89.5699996948,89.5699996948,89.5699996948,0,0.0,0.0,RUB=X,,,RUB
2024-05-30,90.4100036621,90.4499969482,90.4100036621,89.5699996948,0,0.0,0.0,RUB=X,,,RUB
2024-06-02,90.4199981689,90.4199981689,90.4199981689,90.4199981689,0,0.0,0.0,RUB=X,,,RUB
2024-06-03,89.3199996948,89.3199996948,89.3199996948,89.3199996948,0,0.0,0.0,RUB=X,,,RUB
2024-06-04,88.9422225952,89.104019165,88.9401550293,88.5299987793,0,0.0,0.0,RUB=X,,,RUB
2024-06-05,89.0463180542,89.2011566162,88.4434661865,89.0454940796,0,0.0,0.0,RUB=X,,,RUB
2024-06-06,89.3204269409,89.4208755493,88.7844696045,89.3204879761,0,0.0,0.0,RUB=X,,,RUB
2024-06-09,88.8342514038,89.3818283081,88.7490921021,88.8342514038,0,0.0,0.0,RUB=X,,,RUB
2024-06-10,88.8716583252,89.3320846558,88.6683959961,88.8700180054,0,0.0,0.0,RUB=X,,,RUB
2024-06-11,89.2487640381,89.412361145,88.7901306152,89.2462692261,0,0.0,0.0,RUB=X,,,RUB
2024-06-12,88.9975204468,91.7437057495,85.7454681396,88.9970932007,0,0.0,0.0,RUB=X,,,RUB
2024-06-13,87.8614349365,90.2454299927,87.8487167358,87.8753509521,0,0.0,0.0,RUB=X,,,RUB
2024-06-16,88.0717697144,89.5042419434,88.0277557373,88.0643615723,0,0.0,0.0,RUB=X,,,RUB
2024-06-17,88.7200241089,88.8732833862,86.2974777222,88.7204055786,0,0.0,0.0,RUB=X,,,RUB
2024-06-18,85.3736114502,86.2502441406,82.7335281372,85.3716583252,0,0.0,0.0,RUB=X,,,RUB
2024-06-19,83.495475769,87.7466125488,83.1030731201,83.4962539673,0,0.0,0.0,RUB=X,,,RUB
2024-06-20,87.3687973022,89.5028762817,87.3528213501,87.3724441528,0,0.0,0.0,RUB=X,,,RUB
2024-06-23,87.3368606567,89.2499694824,86.4857788086,87.3442153931,0,0.0,0.0,RUB=X,,,RUB
2024-06-24,87.9941864014,88.2511444092,86.9433822632,87.9954147339,0,0.0,0.0,RUB=X,,,RUB
2024-06-25,87.4962615967,88.6491088867,86.2433547974,87.4979476929,0,0.0,0.0,RUB=X,,,RUB
2024-06-26,88.2470626831,88.2536849976,84.5391082764,88.2453842163,0,0.0,0.0,RUB=X,,,RUB
2024-06-27,84.994720459,88.2482757568,84.9792327881,84.996307373,0,0.0,0.0,RUB=X,,,RUB
2024-06-30,85.5270233154,87.5482635498,84.4430007935,85.5091018677,0,0.0,0.0,RUB=X,,,RUB
2024-07-01,86.7434387207,88.6708145142,86.3349380493,86.7470474243,0,0.0,0.0,RUB=X,,,RUB
2024-07-02,87.8466110229,88.4892501831,87.5892715454,87.8462219238,0,0.0,0.0,RUB=X,,,RUB
2024-07-03,88.4962997437,89.0999984741,87.7381286621,88.4954299927,0,0.0,0.0,RUB=X,,,RUB
2024-07-04,88.9975280762,91.3755874634,87.9767303467,88.9974899292,0,0.0,0.0,RUB=X,,,RUB
2024-07-07,87.2095718384,88.9937744141,87.119430542,87.1934585571,0,0.0,0.0,RUB=X,,,RUB
2024-07-08,86.6260986328,88.5039825439,86.6208724976,86.6196365356,0,0.0,0.0,RUB=X,,,RUB
2024-07-09,86.4906997681,88.997467041,86.4747085571,86.4906997681,0,0.0,0.0,RUB=X,,,RUB
2024-07-10,88.3409576416,88.575302124,87.2238006592,88.3450317383,0,0.0,0.0,RUB=X,,,RUB
2024-07-11,86.995513916,88.1502914429,86.9843139648,86.9970855713,0,0.0,0.0,RUB=X,,,RUB
2024-07-14,86.7628173828,88.6043701172,86.6792068481,86.7667999268,0,0.0,0.0,RUB=X,,,RUB
2024-07-15,87.9975204468,88.8146514893,87.9748458862,87.9942932129,0,0.0,0.0,RUB=X,,,RUB
2024-07-16,88.4962539673,88.5052490234,88.0870666504,88.4962539673,0,0.0,0.0,RUB=X,,,RUB
2024-07-17,88.4962921143,88.5059661865,87.9172744751,88.4801025391,0,0.0,0.0,RUB=X,,,RUB
2024-07-18,88.3885726929,88.4056472778,87.0958862305,88.396697998,0,0.0,0.0,RUB=X,,,RUB
2024-07-21,86.8867111206,88.4995117188,86.8867111206,86.8847198486,0,0.0,0.0,RUB=X,,,RUB
2024-07-22,87.8434295654,88.2958984375,86.990272522,87.8446578979,0,0.0,0.0,RUB=X,,,RUB
2024-07-23,87.8401794434,87.8616790771,86.1840667725,87.8455200195,0,0.0,0.0,RUB=X,,,RUB
2024-07-24,86.2400817871,86.8199386597,84.8423156738,86.236907959,0,0.0,0.0,RUB=X,,,RUB
2024-07-25,84.9938964844,86.2788009644,84.9782104492,84.9942855835,0,0.0,0.0,RUB=X,,,RUB
2024-07-28,85.0034561157,86.825668335,84.8662185669,84.9956207275,0,0.0,0.0,RUB=X,,,RUB
2024-07-29,86.3930664062,86.7014389038,85.8188858032,86.3958053589,0,0.0,0.0,RUB=X,,,RUB
2024-07-30,85.746673584,86.5692672729,84.9837875366,85.747467041,0,0.0,0.0,RUB=X,,,RUB
2024-07-31,85.9966659546,86.0985794067,85.2438583374,85.9962692261,0,0.0,0.0,RUB=X,,,RUB
2024-08-01,85.5184555054,85.9022140503,84.6124649048,85.5144882202,0,0.0,0.0,RUB=X,,,RUB
2024-08-04,84.1387481689,87.0115356445,83.9195327759,84.1395187378,0,0.0,0.0,RUB=X,,,RUB
2024-08-05,84.8677597046,85.8271865845,84.6982116699,84.8724746704,0,0.0,0.0,RUB=X,,,RUB
2024-08-06,85.6720504761,86.2474517822,84.7459030151,85.6665420532,0,0.0,0.0,RUB=X,,,RUB
2024-08-07,85.7371673584,87.0248260498,85.6572113037,85.727355957,0,0.0,0.0,RUB=X,,,RUB
2024-08-08,86.7451171875,88.7003860474,86.7233047485,86.7441711426,0,0.0,0.0,RUB=X,,,RUB
2024-08-11,86.9148712158,91.8009567261,86.8675079346,86.7995452881,0,0.0,0.0,RUB=X,,,RUB
2024-08-12,90.9984359741,93.7471237183,90.9755477905,90.9955215454,0,0.0,0.0,RUB=X,,,RUB
2024-08-13,90.4934463501,92.9976577759,88.0010910034,90.4963378906,0,0.0,0.0,RUB=X,,,RUB
2024-08-14,89.7959442139,90.488571167,88.2435379028,89.795135498,0,0.0,0.0,RUB=X,,,RUB
2024-08-15,88.9154586792,89.4975738525,87.7455062866,88.9215316772,0,0.0,0.0,RUB=X,,,RUB
2024-08-18,89.454536438,90.1512451172,87.4714736938,89.4642715454,0,0.0,0.0,RUB=X,,,RUB
2024-08-19,89.9960327148,91.7546615601,89.1193466187,89.9960327148,0,0.0,0.0,RUB=X,,,RUB
2024-08-20,91.1386108398,92.3751144409,90.8685073853,91.1488647461,0,0.0,0.0,RUB=X,,,RUB
2024-08-21,91.4996795654,92.5034332275,90.6362075806,91.4968032837,0,0.0,0.0,RUB=X,,,RUB
2024-08-22,91.4951400757,91.7513122559,91.243057251,91.4964141846,0,0.0,0.0,RUB=X,,,RUB
2024-08-25,90.2485427856,92.3792037964,90.1482391357,90.2614517212,0,0.0,0.0,RUB=X,,,RUB
2024-08-26,91.9947509766,92.0283889771,90.9451675415,92.0005722046,0,0.0,0.0,RUB=X,,,RUB
2024-08-27,91.4947662354,91.8562927246,91.2926635742,91.4947662354,0,0.0,0.0,RUB=X,,,RUB
2024-08-28,91.4935760498,92.2488479614,91.3010635376,91.4939498901,0,0.0,0.0,RUB=X,,,RUB
2024-08-29,91.4963989258,92.2543106079,90.4435119629,91.4964294434,0,0.0,0.0,RUB=X,,,RUB
2024-09-01,90.6732788086,91.6479873657,89.2680740356,90.6773834229,0,0.0,0.0,RUB=X,,,RUB
2024-09-02,89.7902832031,90.1463928223,87.0703353882,89.7955703735,0,0.0,0.0,RUB=X,,,RUB
2024-09-03,87.8705825806,89.5016098022,87.8561935425,87.8725128174,0,0.0,0.0,RUB=X,,,RUB
2024-09-04,87.5019836426,90.6226196289,87.4810256958,87.4996414185,0,0.0,0.0,RUB=X,,,RUB
2024-09-05,88.2432479858,90.4975814819,88.2289276123,88.2484207153,0,0.0,0.0,RUB=X,,,RUB
2024-09-08,89.1576690674,91.2833557129,89.1142654419,89.1544494629,0,0.0,0.0,RUB=X,,,RUB
2024-09-09,90.5463485718,91.629196167,89.9828872681,90.5401687622,0,0.0,0.0,RUB=X,,,RUB
2024-09-10,90.995552063,92.2184295654,90.4893875122,90.9988555908,0,0.0,0.0,RUB=X,,,RUB
2024-09-11,91.5713195801,91.6906890869,91.01222229,91.5688247681,0,0.0,0.0,RUB=X,,,RUB
2024-09-12,89.1915817261,91.5095672607,89.1762466431,89.1964111328,0,0.0,0.0,RUB=X,,,RUB
2024-09-15,89.7326049805,91.5041732788,89.6029129028,89.7362442017,0,0.0,0.0,RUB=X,,,RUB
2024-09-16,91.4066085815,91.610748291,90.3728027344,91.3963546753,0,0.0,0.0,RUB=X,,,RUB
2024-09-17,91.4968338013,92.5530090332,90.9283370972,91.4960632324,0,0.0,0.0,RUB=X,,,RUB
2024-09-18,93.623550415,93.6926040649,92.0934753418,93.6226959229,0,0.0,0.0,RUB=X,,,RUB
2024-09-19,92.1710128784,93.1251831055,92.152381897,92.1701507568,0,0.0,0.0,RUB=X,,,RUB
2024-09-22,91.7624359131,93.4179077148,91.7028579712,91.7492828369,0,0.0,0.0,RUB=X,,,RUB
2024-09-23,91.4705886841,93.5251998901,91.4438018799,91.4692993164,0,0.0,0.0,RUB=X,,,RUB
2024-09-24,92.7934646606,92.8259658813,91.2353363037,92.7972183228,0,0.0,0.0,RUB=X,,,RUB
2024-09-25,92.4956054688,92.8263778687,91.7209472656,92.4964828491,0,0.0,0.0,RUB=X,,,RUB
2024-09-26,92.6114120483,93.3835372925,92.3269958496,92.6060409546,0,0.0,0.0,RUB=X,,,RUB
2024-09-29,94.2426452637,94.3469696045,91.9872970581,94.228729248,0,0.0,0.0,RUB=X,,,RUB
2024-09-30,92.9943618774,94.5078735352,92.6918411255,92.9993515015,0,0.0,0.0,RUB=X,,,RUB
2024-10-01,95.8455886841,95.851600647,94.3831329346,95.8468933105,0,0.0,0.0,RUB=X,,,RUB
2024-10-02,95.6468505859,95.6550369263,94.7348022461,95.646812439,0,0.0,0.0,RUB=X,,,RUB
