date,year,month,period,indicator,value,unit
2010-02-01,2010,2,114 февраль,Безналичные средства,11615.9,386 миллиард рублей
2010-03-01,2010,3,68 март,Безналичные средства,12010.4,386 миллиард рублей
2010-04-01,2010,4,61 апрель,Безналичные средства,12253.9,386 миллиард рублей
2010-05-01,2010,5,67 май,Безналичные средства,12573.6,386 миллиард рублей
2010-06-01,2010,6,66 июнь,Безналичные средства,12822.6,386 миллиард рублей
2010-07-01,2010,7,65 июль,Безналичные средства,12862.8,386 миллиард рублей
2010-08-01,2010,8,60 август,Безналичные средства,13185.9,386 миллиард рублей
2010-09-01,2010,9,108 сентябрь,Безналичные средства,13384.7,386 миллиард рублей
2010-10-01,2010,10,105 октябрь,Безналичные средства,13509.7,386 миллиард рублей
2010-11-01,2010,11,104 ноябрь,Безналичные средства,13908.0,386 миллиард рублей
2010-12-01,2010,12,62 декабрь,Безналичные средства,15110.8,386 миллиард рублей
1994-09-01,1994,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),107629.5,386 миллиард рублей
1997-01-01,1997,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),288.3,386 миллиард рублей
1997-02-01,1997,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),289.9,386 миллиард рублей
1997-03-01,1997,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),299.5,386 миллиард рублей
1997-04-01,1997,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),305.8,386 миллиард рублей
1997-05-01,1997,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),317.8,386 миллиард рублей
1997-06-01,1997,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),328.4,386 миллиард рублей
1997-07-01,1997,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),352.0,386 миллиард рублей
1997-08-01,1997,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),363.0,386 миллиард рублей
1997-09-01,1997,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),364.6,386 миллиард рублей
1997-10-01,1997,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),363.0,386 миллиард рублей
1997-11-01,1997,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),368.8,386 миллиард рублей
1997-12-01,1997,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),357.4,386 миллиард рублей
1998-01-01,1998,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),364.9,386 миллиард рублей
1998-02-01,1998,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),366.9,386 миллиард рублей
1998-03-01,1998,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),364.7,386 миллиард рублей
1998-04-01,1998,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),372.6,386 миллиард рублей
1998-05-01,1998,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),375.7,386 миллиард рублей
1998-06-01,1998,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),374.5,386 миллиард рублей
1998-07-01,1998,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),365.6,386 миллиард рублей
1998-08-01,1998,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),350.5,386 миллиард рублей
1998-09-01,1998,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),374.1,386 миллиард рублей
1998-10-01,1998,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),386.9,386 миллиард рублей
1998-11-01,1998,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),407.4,386 миллиард рублей
1998-12-01,1998,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),453.7,386 миллиард рублей
1999-01-01,1999,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),450.6,386 миллиард рублей
1999-02-01,1999,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),471.3,386 миллиард рублей
1999-03-01,1999,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),482.2,386 миллиард рублей
1999-04-01,1999,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),518.8,386 миллиард рублей
1999-05-01,1999,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),553.7,386 миллиард рублей
1999-06-01,1999,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),581.5,386 миллиард рублей
1999-07-01,1999,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),596.0,386 миллиард рублей
1999-08-01,1999,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),605.7,386 миллиард рублей
1999-09-01,1999,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),611.9,386 миллиард рублей
1999-10-01,1999,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),639.4,386 миллиард рублей
1999-11-01,1999,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),663.5,386 миллиард рублей
1999-12-01,1999,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),714.6,386 миллиард рублей
2000-01-01,2000,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),709.6,386 миллиард рублей
2000-02-01,2000,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),742.0,386 миллиард рублей
2000-03-01,2000,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),768.4,386 миллиард рублей
2000-04-01,2000,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),802.5,386 миллиард рублей
2000-05-01,2000,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),850.1,386 миллиард рублей
2000-06-01,2000,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),905.8,386 миллиард рублей
2000-07-01,2000,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),950.5,386 миллиард рублей
2000-08-01,2000,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),977.6,386 миллиард рублей
2000-09-01,2000,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),1008.8,386 миллиард рублей
2000-10-01,2000,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),1016.4,386 миллиард рублей
2000-11-01,2000,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),1054.6,386 миллиард рублей
2000-12-01,2000,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),1154.4,386 миллиард рублей
2001-01-01,2001,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),1095.1,386 миллиард рублей
2001-02-01,2001,2,114 февраль,Денежная масса в национальном определении (денежный агрегат М2),1124.2,386 миллиард рублей
2001-03-01,2001,3,68 март,Денежная масса в национальном определении (денежный агрегат М2),1165.0,386 миллиард рублей
2001-04-01,2001,4,61 апрель,Денежная масса в национальном определении (денежный агрегат М2),1224.9,386 миллиард рублей
2001-05-01,2001,5,67 май,Денежная масса в национальном определении (денежный агрегат М2),1247.1,386 миллиард рублей
2001-06-01,2001,6,66 июнь,Денежная масса в национальном определении (денежный агрегат М2),1305.4,386 миллиард рублей
2001-07-01,2001,7,65 июль,Денежная масса в национальном определении (денежный агрегат М2),1340.9,386 миллиард рублей
2001-08-01,2001,8,60 август,Денежная масса в национальном определении (денежный агрегат М2),1377.7,386 миллиард рублей
2001-09-01,2001,9,108 сентябрь,Денежная масса в национальном определении (денежный агрегат М2),1425.9,386 миллиард рублей
2001-10-01,2001,10,105 октябрь,Денежная масса в национальном определении (денежный агрегат М2),1453.8,386 миллиард рублей
2001-11-01,2001,11,104 ноябрь,Денежная масса в национальном определении (денежный агрегат М2),1452.9,386 миллиард рублей
2001-12-01,2001,12,62 декабрь,Денежная масса в национальном определении (денежный агрегат М2),1154.4,386 миллиард рублей
2002-01-01,2002,1,115 январь,Денежная масса в национальном определении (денежный агрегат М2),1095.1,386 миллиард рублей
