BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,RGBITR,2017-02-14,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,421.1,421.23,421.26,420.69,4309353098.0,1613.0,8.25,2,3531921956279.27,RUB,,3,,2017-02-14,
SNDX,RGBITR,2017-02-15,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,420.19,421.23,421.26,420.19,19589319083.0,1621.0,8.32,2,3511272810084.19,RUB,,3,,2017-02-15,
SNDX,RGBITR,2017-02-16,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.5,420.2,420.57,419.5,14747455106.0,1620.0,8.37,2,3505538437662.36,RUB,,3,,2017-02-16,
SNDX,RGBITR,2017-02-17,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.34,419.57,419.58,418.3,10444573738.0,1615.0,8.43,2,3495810602976.19,RUB,,3,,2017-02-17,
SNDX,RGBITR,2017-02-20,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.87,418.64,419.23,418.5,6624520886.0,1613.0,8.42,2,3500276739436.56,RUB,,3,,2017-02-20,
SNDX,RGBITR,2017-02-21,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.15,418.94,419.26,418.37,5548667587.0,1612.0,8.41,2,3502619006359.23,RUB,,3,,2017-02-21,
SNDX,RGBITR,2017-02-22,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.78,419.33,419.35,418.71,13405759578.0,1619.0,8.44,2,3479538101117.94,RUB,,3,,2017-02-22,
SNDX,RGBITR,2017-02-24,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.38,419.03,419.55,418.75,9977278.0,1618.0,8.4,2,3484496162504.25,RUB,,3,,2017-02-24,
SNDX,RGBITR,2017-02-27,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,419.1,419.79,419.79,418.5,5461698268.0,1614.0,8.45,2,3482197908592.93,RUB,,3,,2017-02-27,
SNDX,RGBITR,2017-02-28,Индекс Мосбиржи гос обл RGBITR,Индекс Мосбиржи государственных облигаций,418.54,419.28,419.28,418.47,6429167063.0,1612.0,8.5,2,3477511905310.15,RUB,,3,,2017-02-28,
