BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,WAPRICE
CETS,2014-02-25,CNYRUB_TOM,CNYRUB_TOM,5.8159,5.8133,5.824,5.8133,14,5.8195
CETS,2014-02-26,CNYRUB_TOM,CNYRUB_TOM,5.835,5.835,5.89,5.89,17,5.8627
CETS,2014-02-27,CNYRUB_TOM,CNYRUB_TOM,5.8942,5.8843,5.93,5.93,47,5.8972
CETS,2014-02-28,CNYRUB_TOM,CNYRUB_TOM,5.8874,5.8874,5.9119,5.8901,42,5.9009
CETS,2014-03-03,CNYRUB_TOM,CNYRUB_TOM,5.92,5.92,5.9518,5.9518,23,5.944
CETS,2014-03-04,CNYRUB_TOM,CNYRUB_TOM,5.9245,5.901,5.936,5.901,40,5.9232
CETS,2014-03-05,CNYRUB_TOM,CNYRUB_TOM,5.8841,5.883,5.906,5.89,20,5.8945
CETS,2014-03-06,CNYRUB_TOM,CNYRUB_TOM,5.903,5.903,5.93,5.9245,17,5.9143
CETS,2014-03-07,CNYRUB_TOM,CNYRUB_TOM,5.942,5.93,5.9474,5.9446,24,5.9378
CETS,2014-03-11,CNYRUB_TOM,CNYRUB_TOM,5.95,5.9346,5.95,5.9346,17,5.9398
CETS,2014-03-12,CNYRUB_TOM,CNYRUB_TOM,5.9354,5.9323,5.94,5.936,9,5.9367
CETS,2014-03-13,CNYRUB_TOM,CNYRUB_TOM,5.935,5.9321,5.94,5.9395,5,5.9386
CETS,2014-03-14,CNYRUB_TOM,CNYRUB_TOM,5.9509,5.95,5.967,5.967,9,5.964
CETS,2014-03-17,CNYRUB_TOM,CNYRUB_TOM,5.943,5.9146,5.943,5.9146,5,5.9376
CETS,2014-03-18,CNYRUB_TOM,CNYRUB_TOM,5.8799,5.8799,5.9175,5.88,14,5.8943
CETS,2015-01-05,CNYRUB_TOM,CNYRUB_TOM,10.9166,9.5408,10.9166,10.916,6,10.4309
CETS,2015-01-06,CNYRUB_TOM,CNYRUB_TOM,11.99,10.3037,11.99,10.3434,12,10.7766
CETS,2015-01-08,CNYRUB_TOM,CNYRUB_TOM,10.3923,10.39,10.3923,10.39,2,10.3907
CETS,2015-01-09,CNYRUB_TOM,CNYRUB_TOM,10.7899,10.7899,10.7899,10.7899,1,10.7899
CETS,2015-01-12,CNYRUB_TOM,CNYRUB_TOM,10.1221,10.001,10.2499,10.2499,1218,10.1244
CETS,2015-01-13,CNYRUB_TOM,CNYRUB_TOM,10.36,10.36,10.708,10.502,1214,10.4782
CETS,2015-01-14,CNYRUB_TOM,CNYRUB_TOM,10.67,10.4263,11.0,10.4263,1188,10.6667
CETS,2015-01-15,CNYRUB_TOM,CNYRUB_TOM,10.4645,10.0767,10.637,10.4,1238,10.5266
CETS,2015-01-16,CNYRUB_TOM,CNYRUB_TOM,10.508,10.2841,10.5147,10.49,1207,10.4838
CETS,2015-01-19,CNYRUB_TOM,CNYRUB_TOM,10.45,10.3,10.5715,10.5715,1199,10.4165
CETS,2015-01-20,CNYRUB_TOM,CNYRUB_TOM,10.457,10.4232,10.52,10.52,1185,10.4685
CETS,2015-01-21,CNYRUB_TOM,CNYRUB_TOM,10.519,10.3372,10.6271,10.3897,1248,10.5762
